PREDATOR PREY
Hyas_araneus Laminaria_saccharina
Hyas_araneus Laminaria_digitata
Hyas_araneus Saccorhiza_dermatodea
Hyas_araneus Laminaria_solidungula
Hyas_araneus Phycodrys_rubens
Hyas_araneus Ptilta_gunneri
Hyas_araneus Fimbrifolium_dichotomum
Hyas_araneus Desmarestia_aculeata
Hyas_araneus Palmaria_palmata
Hyas_araneus Devaleraea_ramentacea
Hyas_araneus Turnerella_pennyi
Hyas_araneus Desmarestia_viridis
Hyas_araneus Balanus_balanus
Hyas_araneus Semibalanus_balanoides
Hyas_araneus Glycera_capitata
Hyas_araneus Harmothoe_imbricata
Hyas_araneus Heteromastus_filiformis
Hyas_araneus Leitoscoloplos_mammosus
Hyas_araneus Levinsenia_gracilis
Hyas_araneus Lumbrineris
Hyas_araneus Lysippe_labiata
Hyas_araneus Nephtys_ciliata
Hyas_araneus Nereimyra_punctata
Hyas_araneus Nereis_zonata
Hyas_araneus Yoldia_hyperborea
Hyas_araneus Yoldiella_frigida
Hyas_araneus Yoldiella_lenticula
Hyas_araneus Yoldiella_solidula
Hyas_araneus Ophiocten_sericeum
Hyas_araneus Ophiopholis_aculeata
Hyas_araneus Ophiura_robusta
Hyas_araneus Strongylocentrotus_pallidus
Hyas_araneus Strongylocentrotus_droebachiensis
Hyas_araneus Crossaster_papposus
Hyas_araneus Henricia
Hyas_araneus Sediment
Ischyrocerus_anguipes Phytodetritus
Ischyrocerus_anguipes Sediment
Janira Phytodetritus
Janira Sediment
Lamprops_fuscatus Phytodetritus
Lamprops_fuscatus Sediment
Lebbeus_polaris Calanus_finnmarchicus
Lebbeus_polaris Copepoda_nauplii
Lebbeus_polaris Pseudocalanus
Lebbeus_polaris Oithona_similis
Lebbeus_polaris Fritillaria
Lebbeus_polaris Limacina_helicina
Lebbeus_polaris Phytodetritus
Melita_dentata Phytodetritus
Melita_dentata Sediment
Melita_formosa Phytodetritus
Melita_formosa Sediment
Melita_palmata Phytodetritus
Melita_palmata Sediment
Monoculodes_borealis Phytodetritus
Monoculodes_longirostris Calanus_finnmarchicus
Monoculodes_longirostris Onacea_borealis
Monoculodes_longirostris Bradyidius_similis
Monoculodes_longirostris Microcalanus_pusillus
Monoculodes_longirostris Copepoda_nauplii
Monoculodes_longirostris Metridia_longa
Monoculodes_longirostris Metridia_lucens
Monoculodes_longirostris Calanus_glacialis
Monoculodes_longirostris Calanus_hyperboreus
Monoculodes_longirostris Pseudocalanus
Monoculodes_longirostris Oithona_similis
Monoculodes_longirostris Phytodetritus
Munna Phytodetritus
Munna Sediment
Munnopsis Phytodetritus
Munnopsis Sediment
Mysis_oculata Phytodetritus
Mysis_oculata Sediment
Onisimus_caricus Phytodetritus
Onisimus_caricus Sediment
Onisimus_edwardsi Phytodetritus
Onisimus_edwardsi Sediment
Orchomenella_minuta Phytodetritus
Orchomenella_minuta Sediment
Pagurus_pubescens Heteromastus_filiformis
Pagurus_pubescens Leitoscoloplos_mammosus
Pagurus_pubescens Levinsenia_gracilis
Pagurus_pubescens Lumbrineris
Pagurus_pubescens Lysippe_labiata
Pagurus_pubescens Nephtys_ciliata
Pagurus_pubescens Nereimyra_punctata
Pagurus_pubescens Nereis_zonata
Pagurus_pubescens Pholoe_assimilis
Pagurus_pubescens Phyllodoce
Pagurus_pubescens Polydora
Pagurus_pubescens "Cylichna_cf. oculata"
Pagurus_pubescens Elachisina_globuloides
Pagurus_pubescens Erginus_rubellus
Pagurus_pubescens Euspira_pallida
Pagurus_pubescens Frigidoalvania_cruenta
Pagurus_pubescens Ophiocten_sericeum
Pagurus_pubescens Ophiopholis_aculeata
Pagurus_pubescens Ophiura_robusta
Pagurus_pubescens Strongylocentrotus_pallidus
Pagurus_pubescens Strongylocentrotus_droebachiensis
Pagurus_pubescens Crossaster_papposus
Pagurus_pubescens Henricia
Pagurus_pubescens Urticina_eques
Pagurus_pubescens Hormathia_nodosa
Pagurus_pubescens Phytodetritus
Pagurus_pubescens Sediment
Pandalus_borealis Phytodetritus
Parapleustes_assimilis Neoscolecithrix_farrani
Parapleustes_assimilis Laminaria_saccharina
Parapleustes_assimilis Laminaria_digitata
Parapleustes_assimilis Diastylis_goodsiri
Parapleustes_assimilis Diastylis_lucifera
Parapleustes_assimilis Diastylis_rathkii
Parapleustes_assimilis Phytodetritus
Parapleustes_assimilis Sediment
Parapleustes_bicuspis Neoscolecithrix_farrani
Parapleustes_bicuspis Laminaria_saccharina
Parapleustes_bicuspis Laminaria_digitata
Parapleustes_bicuspis Diastylis_goodsiri
Parapleustes_bicuspis Diastylis_lucifera
Parapleustes_bicuspis Diastylis_rathkii
Parapleustes_bicuspis Ischyrocerus_anguipes
Parapleustes_bicuspis Janira
Parapleustes_bicuspis Lamprops_fuscatus
Parapleustes_bicuspis Phytodetritus
Parapleustes_bicuspis Sediment
Parapleustes_monocuspis Neoscolecithrix_farrani
Parapleustes_monocuspis Boreomysis_arctica
Parapleustes_monocuspis Laminaria_saccharina
Parapleustes_monocuspis Laminaria_digitata
Parapleustes_monocuspis Phytodetritus
Parapleustes_monocuspis Sediment
Paroediceros_lynceus Neoscolecithrix_farrani
Paroediceros_lynceus Laminaria_saccharina
Paroediceros_lynceus Laminaria_digitata
Paroediceros_lynceus Littorina_saxatilis
Paroediceros_lynceus Diastylis_goodsiri
Paroediceros_lynceus Diastylis_lucifera
Paroediceros_lynceus Diastylis_rathkii
Paroediceros_lynceus Ischyrocerus_anguipes
Paroediceros_lynceus Janira
Paroediceros_lynceus Lamprops_fuscatus
Paroediceros_lynceus Melita_dentata
Paroediceros_lynceus Melita_formosa
Paroediceros_lynceus Melita_palmata
